충전소명,위도,경도,연중 무휴 여부,충전기 타입,충전 속도,충전기 개수,지번 주소,도로명 주소
에셋플러스자산운용 리치투게더센터,37.3974,127.1114,O,데스티네이션,7,1,,
바니힐 키즈풀빌라,37.90521,127.45354,O,데스티네이션,7,1,,
CU 비봉프리미엄점,37.226701,126.858301,O,데스티네이션,7,2,,
CU 의왕오전공단점,37.357285,126.962502,O,데스티네이션,7,1,,
CU 청평대인점,37.696798,127.383627,O,데스티네이션,7,2,,
끌레르 키즈풀빌라,37.90499,127.4536,O,데스티네이션,7,1,,
포춘테일,37.84274,127.13151,O,데스티네이션,10,2,,
럭셔리몰임팩트광주명품백화점,35.14378,126.82201,O,데스티네이션,10,5,,
한일렌트카,35.8026,127.0968,O,데스티네이션,7,1,,
이비스스타일앰베서더호텔 에어포트,37.481158,126.420131,O,데스티네이션,7,21,,
피닉스 평창 - 유로 빌라,37.57987,128.32688,O,데스티네이션,7,1,,
피닉스 평창 - 피닉스 CC,37.58892,128.33494,O,데스티네이션,7,1,,
사운즈 한남,37.5337,127.0022,O,데스티네이션,10,1,,
사우스 케이프 스파&스위트 남해,34.8359,128.0735,O,데스티네이션,19,1,,
스테이폴리오 - 가고파그집,34.52031,127.46898,O,데스티네이션,7,1,,
스테이폴리오 - 송당아진,33.4771,126.78561,O,데스티네이션,10,1,,
스테이폴리오 - 빈티지제주,33.33462,126.17522,O,데스티네이션,10,1,,
스테이폴리오 - 월령선인장,33.3762,126.21593,O,데스티네이션,10,1,,
간절곶 까르마레 펜션,35.359468,129.333839,O,데스티네이션,7,1,,
강남 N 타워,37.499893,127.032379,O,데스티네이션,7,6,,
갤러리아백화점 명품관 EAST,37.527929,127.041655,O,데스티네이션,16,2,,
갤러리아백화점 명품관 WEST,37.528408,127.040072,O,데스티네이션,16,2,,
Geonmokplaza,37.441189,126.902293,O,데스티네이션,7,1,,
고양 - 원마운트,37.6654,126.7548,O,데스티네이션,7,1,,
곤지암 리조트,37.337256,127.295269,O,데스티네이션,7,2,,
광명 - AK플라자,37.419172,126.882118,O,데스티네이션,7,1,,
군포 - AK 플라자,37.3729,126.9443,O,데스티네이션,7,1,,
그랑서울,37.570691,126.981509,O,데스티네이션,7,4,,
그랜드 워커힐 서울,37.555093,127.110951,O,데스티네이션,16,3,,
그랜드 하얏트 인천 웨스트타워,37.439949,126.456126,O,데스티네이션,16,2,,
그랜드 하얏트 인천 이스트타워,37.440432,126.457467,O,데스티네이션,16,2,,
그리드위즈 연구동,37.391081,127.056452,O,데스티네이션,11,1,,
그린 빌딩,35.729503,128.265856,O,데스티네이션,6,2,,
김포 - 구래,37.646358,126.630319,O,데스티네이션,7,1,,
노고단 게스트하우스 & 호텔,35.316539,127.458326,O,데스티네이션,6,2,,
대구 - 수성,35.82726,128.62369,O,데스티네이션,7,1,,
대구백화점 프라자점 ,35.855812,128.606333,O,데스티네이션,7,3,,
대전 - 롯데백화점,36.34076,127.38949,O,데스티네이션,7,1,,
대전 엘크루 세차장,36.452672,127.424222,O,데스티네이션,6,2,,
더 클라우드 호텔,33.468968,126.935391,O,데스티네이션,16,2,,
더 플라자 호텔,37.564637,126.97811,O,데스티네이션,16,3,,
디 아넥스 호텔,33.303002,126.392891,O,데스티네이션,16,1,,
디테라스,37.403642,127.109051,O,데스티네이션,16,1,,
라이즈 오토그래프콜렉션 호텔,37.554432,126.921174,O,데스티네이션,6,2,,
라임 비치 펜션 ,37.813008,128.895208,O,데스티네이션,6,2,,
렉스필드 CC,37.401817,127.422181,O,데스티네이션,16,2,,
롯데호텔 제주,33.248573,126.410556,O,데스티네이션,16,2,,
르 메르디앙 서울 호텔,37.50476,127.027549,O,데스티네이션,16,2,,
마리오 아울렛,37.478524,126.88471,O,데스티네이션,6,2,,
마이 알레,37.446413,127.023586,O,데스티네이션,16,2,,
메이필드 호텔,37.547046,126.81903,O,데스티네이션,16,3,,
모노리스제주파크,33.390736,126.365847,O,데스티네이션,6,7,,
모다아울렛-구리,37.6333,127.1159,O,데스티네이션,7,1,,
모다아울렛-충주,36.961,127.8998,O,데스티네이션,7,1,,
목포 미르치과병원,34.805174,126.422255,O,데스티네이션,16,3,,
베니키아 탑 관광호텔,36.976301,126.840092,O,데스티네이션,6,2,,
보키하우스,38.307919,128.541325,O,데스티네이션,19,4,,
부산 - 기장,35.1931,129.2115,O,데스티네이션,7,1,,
부산 신세계 프리미엄 아울렛,35.322664,129.234798,O,데스티네이션,16,2,,
